dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,5,0,Yes,0,0,194.8928382396698,194.86437153816223,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,11735,Run-CAAFE
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,6,0,Yes,0,0,194.8928382396698,194.86437153816223,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,0.997849214076996,-2,-2,-2,-2,1073,13610,Run-CAAFE
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,7,0,Yes,0,0,194.8928382396698,194.86437153816223,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,15570,Run-CAAFE
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,1,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.993192668455068,0.993192668455068,0.9933235033776322,0.9818455159664154,-2,-2,-2,-2,1073,1073,Run-CAAFE
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,2,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,0.997849214076996,-2,-2,-2,-2,1073,2335,Run-CAAFE
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,3,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,3665,Run-CAAFE
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,4,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,5067,Run-CAAFE
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,5,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,6543,Run-CAAFE
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,6,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.99610785999595,0.99610785999595,0.9963326161792804,0.988274747133255,-2,-2,-2,-2,1073,8132,Run-CAAFE
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,7,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,9805,Run-CAAFE
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,8,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,11542,Run-CAAFE
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,9,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,13347,Run-CAAFE
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,10,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,15224,Run-CAAFE
CMC,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,9,Yes,0.0036625862121582,25.040537118911743,156.63124251365662,0.4125664234161377,-2.0,0.997478035094043,0.9976383175641854,0.9592391304347826,-2.0,0.2654594217961675,-2.0,-2.0,-2.0,0.7084606569900688,0.7147470093727599,0.5338753387533876,-2.0,0.9746711688994386,-2.0,-2.0,2328,17599,Gen-and-Run-Pipeline
CMC,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,5,Yes,0.0036625862121582,20.17217469215393,67.12123847007751,0.3450267314910888,-2.0,0.9975725796989278,0.9977457040709892,0.9592391304347826,-2.0,0.2753039095035225,-2.0,-2.0,-2.0,0.6897452583727093,0.694872152206551,0.5338753387533876,-2.0,1.0054833940421797,-2.0,-2.0,2328,9393,Gen-and-Run-Pipeline
CMC,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,3,10,Yes,0.0036625862121582,21.16250348091125,152.66906881332395,0.4093050956726074,-2.0,0.9975318634092328,0.9977410094913908,0.9592391304347826,-2.0,0.2787397417903693,-2.0,-2.0,-2.0,0.6890941982853748,0.6936561378911358,0.5230352303523035,-2.0,1.0163269684380742,-2.0,-2.0,2328,18196,Gen-and-Run-Pipeline
CMC,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,4,6,Yes,0.0036625862121582,20.86685037612915,84.54873371124268,0.4030108451843261,-2.0,0.9975318634092328,0.9977410094913908,0.9592391304347826,-2.0,0.2787397417903693,-2.0,-2.0,-2.0,0.6890941982853748,0.6936561378911358,0.5230352303523035,-2.0,1.0163269684380742,-2.0,-2.0,2328,11161,Gen-and-Run-Pipeline
CMC,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,5,12,Yes,0.0036625862121582,22.446614980697632,187.29362773895264,0.4064161777496338,-2.0,0.9975318634092328,0.9977410094913908,0.9592391304347826,-2.0,0.2787397417903693,-2.0,-2.0,-2.0,0.6890941982853748,0.6936561378911358,0.5230352303523035,-2.0,1.0163269684380742,-2.0,-2.0,2328,21737,Gen-and-Run-Pipeline
CMC,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,6,19,Yes,0.0036625862121582,21.92216205596924,333.2602379322052,0.763052225112915,-2.0,0.9975324793108266,0.997716463398886,0.9592391304347826,-2.0,0.3068415463874023,-2.0,-2.0,-2.0,0.7550660933379199,0.7559594014687957,0.4980842911877394,-2.0,0.9981817412045044,-2.0,-2.0,2328,35789,Gen-and-Run-Pipeline
CMC,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,7,3,Yes,0.0036625862121582,21.60419869422913,34.885377407073975,0.4103665351867676,-2.0,0.9976117451038864,0.9978140482950844,0.9592391304347826,-2.0,0.2688110620206871,-2.0,-2.0,-2.0,0.7050954220071867,0.7105757170509754,0.5284552845528455,-2.0,0.986138552421386,-2.0,-2.0,2328,5915,Gen-and-Run-Pipeline
CMC,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,8,2,Yes,0.0036625862121582,22.259531259536743,18.57480502128601,0.414928674697876,-2.0,0.997523726829745,0.9977031178439536,0.9592391304347826,-2.0,0.2769068444062859,-2.0,-2.0,-2.0,0.6845042099331314,0.6886693404069075,0.5121951219512195,-2.0,1.0190687812675974,-2.0,-2.0,2328,4181,Gen-and-Run-Pipeline
CMC,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,9,20,Yes,0.0036625862121582,20.1868703365326,318.72958755493164,0.4067692756652832,-2.0,0.9975318634092328,0.9977410094913908,0.9592391304347826,-2.0,0.2787397417903693,-2.0,-2.0,-2.0,0.6890941982853748,0.6936561378911358,0.5230352303523035,-2.0,1.0163269684380742,-2.0,-2.0,2328,35797,Gen-and-Run-Pipeline
CMC,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,10,15,Yes,0.0036625862121582,19.89335989952088,229.1713111400604,0.4040989875793457,-2.0,0.9975683796952888,0.9977815170005556,0.9592391304347826,-2.0,0.2669157458942574,-2.0,-2.0,-2.0,0.7011183261183261,0.7072592757336335,0.5230352303523035,-2.0,0.9864662476983042,-2.0,-2.0,2328,26694,Gen-and-Run-Pipeline
CMC,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,1,10,Yes,0.0012109279632568,15.78626275062561,144.45424509048462,0.5551762580871582,-2.0,0.9976969250363462,0.997866868946395,0.9592391304347826,-2.0,0.278412824464922,-2.0,-2.0,-2.0,0.693541389619821,0.6985685087404674,0.5365853658536586,-2.0,0.9942672955541016,-2.0,-2.0,2114,17569,Gen-and-Run-Pipeline
