dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
gen_dataset_50-out-0.02-np-0-nc-0-mv-0_rnc,H2O,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,44,56.37229895591736,0.9489155230954002,-2,-2,-2.0,-2.0,,-2,0.278378647690434,0.9196646893750866,-2,-2,-2.0,-2.0,,-2,0.3051023160343623,0,0,Run-AutoML,0
gen_dataset_50-out-0.02-np-0-nc-0-mv-0_rnc,Flaml,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,44,48.55297136306763,0.9504185466381474,-2,-2,0.8914531414531415,0.8886316077719367,-2.0,-2,-2.0,0.926740593372972,-2,-2,0.8753198894462074,0.8719759893455071,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_50-out-0.02-np-0-nc-0-mv-0_rnc,Autogluon,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,44,44.48059868812561,0.9571140038599444,-2,-2,0.8993945243945244,0.7757457212713936,-2.0,-2,-2.0,0.926368235341174,-2,-2,0.8717371276486846,0.7094829584975655,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_50-out-0.04-np-0-nc-0-mv-0_rnc,H2O,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,86,96.09137749671936,0.9522587612054892,-2,-2,-2.0,-2.0,,-2,0.2722284563378256,0.9228436304951576,-2,-2,-2.0,-2.0,,-2,0.3010160789947754,0,0,Run-AutoML,0
gen_dataset_50-out-0.04-np-0-nc-0-mv-0_rnc,Flaml,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,86,97.29477405548096,0.9625721263768402,-2,-2,0.9044401544401544,0.9019927018779011,-2.0,-2,-2.0,0.9260497586498536,-2,-2,0.8730678677449074,0.869827474087867,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_50-out-0.04-np-0-nc-0-mv-0_rnc,Autogluon,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,86,86.54919624328613,0.9550431913344756,-2,-2,0.8965865215865216,0.7651220727453911,-2.0,-2,-2.0,0.9257296588519884,-2,-2,0.8724536800081891,0.7040380047505939,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_50-out-0.06-np-0-nc-0-mv-0_rnc,H2O,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,47,57.20326471328735,0.9481185351787248,-2,-2,-2.0,-2.0,,-2,0.2792595525882926,0.9189654202947444,-2,-2,-2.0,-2.0,,-2,0.3055555857755721,0,0,Run-AutoML,0
gen_dataset_50-out-0.06-np-0-nc-0-mv-0_rnc,Flaml,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,47,47.54834365844727,0.9497970759975604,-2,-2,0.8902246402246402,0.887261592650292,-2.0,-2,-2.0,0.9254959315095412,-2,-2,0.8761388064284983,0.8728168695468503,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_50-out-0.06-np-0-nc-0-mv-0_rnc,Autogluon,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,47,47.503591775894165,0.9619485545800986,-2,-2,0.9047034047034048,0.7873506951243392,-2.0,-2,-2.0,0.9238553186013226,-2,-2,0.8715323984031119,0.7087491297284753,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_51-out-0.02-np-0-nc-0-mv-0_rnc,H2O,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,53,64.04053997993469,0.9671996661239424,-2,-2,-2.0,-2.0,,-2,0.2170964565473979,0.9261265282924064,-2,-2,-2.0,-2.0,,-2,0.2553309924581622,0,0,Run-AutoML,0
gen_dataset_51-out-0.02-np-0-nc-0-mv-0_rnc,Flaml,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,53,58.27799415588379,0.9972500522262816,-2,-2,0.9807880683793092,0.9802149602112616,-2.0,-2,-2.0,0.9293978433262204,-2,-2,0.9040106163373636,0.8956268291975975,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_51-out-0.02-np-0-nc-0-mv-0_rnc,Autogluon,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,53,53.43324875831604,0.9730158218982424,-2,-2,0.9378772079502008,0.6777049180327869,-2.0,-2,-2.0,0.9302989676423624,-2,-2,0.9054851076378648,0.4952755905511811,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_51-out-0.04-np-0-nc-0-mv-0_rnc,H2O,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,54,65.07438278198242,0.965970516853922,-2,-2,-2.0,-2.0,,-2,0.2198116692416909,0.9205827389116892,-2,-2,-2.0,-2.0,,-2,0.2599827893265743,0,0,Run-AutoML,0
gen_dataset_51-out-0.04-np-0-nc-0-mv-0_rnc,Flaml,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,54,54.80456304550171,0.9842453301330936,-2,-2,0.953044522387588,0.9499008160972896,-2.0,-2,-2.0,0.9251124954161948,-2,-2,0.9051902093777646,0.8944697501569366,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_51-out-0.04-np-0-nc-0-mv-0_rnc,Autogluon,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,54,55.07011556625366,0.9557063032324784,-2,-2,0.9214459506430308,0.5721170395869191,-2.0,-2,-2.0,0.9239939214507856,-2,-2,0.9037894426422884,0.4723008491710473,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_51-out-0.06-np-0-nc-0-mv-0_rnc,H2O,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,25,36.5255115032196,0.9569159681938554,-2,-2,-2.0,-2.0,,-2,0.2302961936017452,0.918556215911708,-2,-2,-2.0,-2.0,,-2,0.2611243074538726,0,0,Run-AutoML,0
gen_dataset_51-out-0.06-np-0-nc-0-mv-0_rnc,Flaml,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,25,28.77342963218689,0.9922205760191568,-2,-2,0.9674850696748508,0.9658739514894896,-2.0,-2,-2.0,0.9156215869870766,-2,-2,0.8994396933058095,0.8893956150864563,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_51-out-0.06-np-0-nc-0-mv-0_rnc,Autogluon,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,25,25.409119129180908,0.9554516455959609,-2,-2,0.9238790406673618,0.5854414042333506,-2.0,-2,-2.0,0.9214259446403944,-2,-2,0.9019463285166618,0.4597887896019496,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_52-out-0.02-np-0-nc-0-mv-0_rnc,H2O,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,56,65.82456231117249,0.8931651709762648,-2,-2,-2.0,-2.0,,-2,0.334406592966323,0.8603334146419606,-2,-2,-2.0,-2.0,,-2,0.3545624710258671,0,0,Run-AutoML,0
gen_dataset_52-out-0.02-np-0-nc-0-mv-0_rnc,Flaml,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,56,56.4125816822052,0.8726417013325121,-2,-2,0.8304135338345865,0.8172067879482616,-2.0,-2,-2.0,0.861483182347443,-2,-2,0.8237719298245614,0.8102089681613465,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_52-out-0.02-np-0-nc-0-mv-0_rnc,Autogluon,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,56,56.96066641807556,0.9071587119699592,-2,-2,0.8456390977443609,0.898767258382643,-2.0,-2,-2.0,0.8616747361351895,-2,-2,0.8254385964912281,0.8859075794060314,-2.0,-2,-2.0,0,0,Run-AutoML,0
