dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_33_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,binary,True,1,0,No,0,0,591.3640851974487,590.6786460876465,0.961259637887444,0.961259637887444,0.961259637887444,0.1112953376024961,-2,-2,-2,-2,0.9608952773090592,0.9608952773090592,0.9608952773090592,0.1121447350829839,-2,-2,-2,-2,9375,9375,Run-CAAFE,0,Nomao,4
oml_dataset_33_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,binary,True,2,0,No,0,0,591.3640851974487,590.6786460876465,0.9597447727935028,0.9597447727935028,0.9597447727935028,0.1414553768932819,-2,-2,-2,-2,0.9592907819295554,0.9592907819295554,0.9592907819295554,0.1417199127376079,-2,-2,-2,-2,9375,19130,Run-CAAFE,0,Nomao,4
oml_dataset_33_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,binary,True,3,0,No,0,0,591.3640851974487,590.6786460876465,0.9621003141834364,0.9621003141834364,0.9621003141834364,0.096227978169918,-2,-2,-2,-2,0.9617174364618613,0.9617174364618613,0.9617174364618613,0.0969531837850809,-2,-2,-2,-2,9375,28968,Run-CAAFE,0,Nomao,4
oml_dataset_33_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,binary,True,4,0,No,0,0,591.3640851974487,590.6786460876465,0.9529107090937884,0.9529107090937884,0.9529107090937884,0.1173862792551517,-2,-2,-2,-2,0.9526289753940108,0.9526289753940108,0.9526289753940108,0.1176370881497859,-2,-2,-2,-2,9375,38888,Run-CAAFE,0,Nomao,4
oml_dataset_33_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,binary,True,5,0,No,0,0,591.3640851974487,590.6786460876465,0.9529107090937884,0.9529107090937884,0.9529107090937884,0.1173862792551517,-2,-2,-2,-2,0.9526289753940108,0.9526289753940108,0.9526289753940108,0.1176370881497859,-2,-2,-2,-2,9375,59244,Run-CAAFE,0,Nomao,4
oml_dataset_33_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,binary,True,6,0,No,0,0,591.3640851974487,590.6786460876465,0.9529107090937884,0.9529107090937884,0.9529107090937884,0.1173862792551517,-2,-2,-2,-2,0.9526289753940108,0.9526289753940108,0.9526289753940108,0.1176370881497859,-2,-2,-2,-2,9375,69681,Run-CAAFE,0,Nomao,4
oml_dataset_33_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,binary,True,7,0,No,0,0,591.3640851974487,590.6786460876465,0.9620148180210276,0.9620148180210276,0.9620148180210276,0.096310880407691,-2,-2,-2,-2,0.9616170949115936,0.9616170949115936,0.9616170949115936,0.0969738781452178,-2,-2,-2,-2,9375,80220,Run-CAAFE,0,Nomao,4
oml_dataset_33_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,binary,True,8,0,No,0,0,591.3640851974487,590.6786460876465,0.9529107090937884,0.9529107090937884,0.9529107090937884,0.1173862792551517,-2,-2,-2,-2,0.9526289753940108,0.9526289753940108,0.9526289753940108,0.1176370881497859,-2,-2,-2,-2,9375,90840,Run-CAAFE,0,Nomao,4
oml_dataset_33_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,binary,True,9,0,No,0,0,591.3640851974487,590.6786460876465,0.9529107090937884,0.9529107090937884,0.9529107090937884,0.1173862792551517,-2,-2,-2,-2,0.9526289753940108,0.9526289753940108,0.9526289753940108,0.1176370881497859,-2,-2,-2,-2,9375,101602,Run-CAAFE,0,Nomao,4
